StockSymbol,Date_ID ,Opening_Price,High_Price,Low_Price ,Closing_Price ,Volume,Adjusted_Close,Price_Target 
DDD,6/12/2015,21.34,21.53,21.17,21.32,1305500,21.32,24.44
DDD,6/11/2015,21.8,21.94,21.37,21.47,1288900,21.47,24.44
DDD,6/10/2015,21.8,22.47,21.73,21.77,1713400,21.77,24.44
DDD,6/9/2015,21.54,21.93,21.46,21.71,1437700,21.71,24.44
DDD,6/8/2015,21.95,21.97,21.34,21.53,1694700,21.53,24.44
DDD,6/5/2015,21.67,22.04,21.38,21.98,1371300,21.98,24.44
DDD,6/4/2015,21.82,22.19,21.58,21.75,1307700,21.75,24.44
DDD,6/3/2015,21.95,22.39,21.81,21.92,1570800,21.92,24.44
DDD,6/2/2015,21.67,22.4,21.58,21.94,1581800,21.94,24.44
DDD,6/1/2015,21.85,21.98,21.27,21.6,1719800,21.6,24.44
DDD,5/29/2015,22.4,22.49,21.7,21.87,1641400,21.87,24.44
DDD,5/28/2015,21.3,22.62,21.1,22.41,3031000,22.41,24.44
DDD,5/27/2015,21.6,21.83,21.25,21.39,1426200,21.39,24.44
DDD,5/26/2015,22.23,22.43,21.5,21.6,1850900,21.6,24.44
DDD,5/22/2015,22.23,22.59,21.82,21.96,1717200,21.96,24.44
DDD,5/21/2015,21.9,22.83,21.87,22.22,2118400,22.22,24.44
DDD,5/20/2015,22.56,22.99,21.98,22.09,2035300,22.09,24.44
DDD,5/19/2015,23.06,23.98,22.41,22.61,5336300,22.61,24.44
DDD,5/18/2015,21.53,22.88,21.2,22.79,3576400,22.79,24.44
DDD,5/15/2015,21.87,21.97,20.82,21.33,4615900,21.33,24.44
DDD,5/14/2015,22.33,22.4,21.93,22.01,1663200,22.01,24.44
DDD,5/13/2015,22.26,22.47,21.92,22.08,1905900,22.08,24.44
DDD,5/12/2015,22.58,22.67,22.1,22.3,2591200,22.3,24.44
DDD,5/11/2015,22.43,22.96,22.03,22.31,2614500,22.31,24.44
DDD,5/8/2015,22.5,22.57,21.9,22.32,3332000,22.32,24.44
DDD,5/7/2015,22.9,22.9,21.86,22.13,4537100,22.13,24.44
DDD,5/6/2015,23,23.8,22.22,22.9,6404000,22.9,24.44
DDD,5/5/2015,24.75,25,23.85,24.21,2131700,24.21,24.44
DDD,5/4/2015,25,25.22,24.51,24.73,2278300,24.73,24.44
DDD,5/1/2015,25.01,25.41,24.9,24.92,1756800,24.92,24.44
DDD,4/30/2015,25.01,25.24,24.76,25.09,3398000,25.09,24.44
DDD,4/29/2015,25.21,25.64,24.94,25.24,4052100,25.24,24.44
DDD,4/28/2015,25,26.38,24.84,26.16,4836100,26.16,24.44
DDD,4/27/2015,26.83,26.85,25.15,25.28,5858600,25.28,24.44
DDD,4/24/2015,26.97,28.95,26.87,27.23,7223400,27.23,24.44
DDD,4/23/2015,30.15,30.41,29.67,30.15,1928900,30.15,24.44
DDD,4/22/2015,31.25,31.31,30.38,30.55,2267300,30.55,24.44
DDD,4/21/2015,32.36,32.38,31,31.16,2920000,31.16,24.44
DDD,4/20/2015,31.86,32.87,31.75,32.5,2822200,32.5,24.44
DDD,4/17/2015,30.95,31.67,30.63,31.49,1974400,31.49,24.44
DDD,4/16/2015,32.07,32.88,31.16,31.21,3076500,31.21,24.44
DDD,4/15/2015,30.23,32.35,30.17,31.95,4091700,31.95,24.44
DDD,4/14/2015,29.46,30.19,29.23,30.18,1992400,30.18,24.44
DDD,4/13/2015,29.83,30.25,29.42,29.55,1835600,29.55,24.44
DDD,4/10/2015,28.66,30.15,28.55,29.79,3489100,29.79,24.44
DDD,4/9/2015,28.22,28.82,28.21,28.77,1239700,28.77,24.44
DDD,4/8/2015,28.2,28.95,28.12,28.38,1477100,28.38,24.44
DDD,4/7/2015,28.43,29.34,28.3,28.35,2392800,28.35,24.44
DDD,4/6/2015,27.39,28.68,27.25,28.67,3122700,28.67,24.44
DDD,4/2/2015,27.32,27.58,27.12,27.45,1872400,27.45,24.44
DDD,4/1/2015,27.44,27.56,26.9,27.47,1159800,27.47,24.44
DDD,3/31/2015,27.05,27.64,26.86,27.42,2047700,27.42,24.44
DDD,3/30/2015,27.28,27.43,26.81,27.09,2140000,27.09,24.44
DDD,3/27/2015,27.59,27.7,27.05,27.34,1937200,27.34,24.44
DDD,3/26/2015,27.81,27.97,26.56,27.7,1712900,27.7,24.44
DDD,3/25/2015,28.2,28.3,27.52,27.81,1330800,27.81,24.44
DDD,3/24/2015,28.11,28.22,27.83,28.19,973100,28.19,24.44
DDD,3/23/2015,27.43,28.1,27.34,27.96,1542700,27.96,24.44
DDD,3/20/2015,27.72,27.88,27.23,27.61,2147200,27.61,24.44
DDD,3/19/2015,27.52,28.02,27.18,27.49,1534100,27.49,24.44
DDD,3/18/2015,27.07,27.7,26.7,27.67,1841900,27.67,24.44
DDD,3/17/2015,26.9,27.12,26.29,26.7,1854200,26.7,24.44
DDD,3/16/2015,27.27,27.4,26.4,26.92,2168900,26.92,24.44
DDD,3/13/2015,27.84,28.15,27.06,27.23,1634000,27.23,24.44
DDD,3/12/2015,27.35,28.05,27.13,27.84,1746000,27.84,24.44
DDD,3/11/2015,27.54,28.05,27.2,27.33,1595500,27.33,24.44
DDD,3/10/2015,27.75,28.12,27.55,27.55,1630400,27.55,24.44
DDD,3/9/2015,28.5,28.64,27.71,28.01,1842800,28.01,24.44
DDD,3/6/2015,28.96,29.19,28.41,28.5,1710200,28.5,24.44
DDD,3/5/2015,28.85,29.29,28.6,29.01,2036100,29.01,24.44
DDD,3/4/2015,29.27,29.27,28.22,28.93,2763200,28.93,24.44
